         5626494 function calls (5602257 primitive calls) in 17.649 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 __init__.py:742(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:752(Handler)
        2    0.000    0.000    0.000    0.000 __init__.py:761(__init__)
       82    0.000    0.000    0.000    0.000 __init__.py:77(__html__)
        5    0.000    0.000    0.005    0.001 __init__.py:78(Connect)
        2    0.000    0.000    0.000    0.000 __init__.py:790(createLock)
       82    0.000    0.000    0.001    0.000 __init__.py:799(acquire)
       82    0.000    0.000    0.001    0.000 __init__.py:806(release)
       41    0.000    0.000    0.000    0.000 __init__.py:819(format)
       41    0.000    0.000    0.006    0.000 __init__.py:842(handle)
        1    0.000    0.000    0.000    0.000 __init__.py:937(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:946(__init__)
       41    0.000    0.000    0.001    0.000 __init__.py:957(flush)
       41    0.000    0.000    0.006    0.000 __init__.py:968(emit)
        1    0.000    0.000    0.000    0.000 __init__.py:988(FileHandler)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:611(items)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:631(__init__)
       44    0.000    0.000    0.000    0.000 _collections_abc.py:675(__iter__)
        1    0.000    0.000    0.000    0.000 _compat.py:126(<lambda>)
      980    0.001    0.000    0.002    0.000 _compat.py:127(<lambda>)
     1780    0.001    0.000    0.001    0.000 _compat.py:155(make_literal_wrapper)
      870    0.002    0.000    0.003    0.000 _compat.py:160(normalize_string_tuple)
        6    0.000    0.000    0.000    0.000 _compat.py:17(<lambda>)
      120    0.000    0.000    0.000    0.000 _compat.py:175(wsgi_decoding_dance)
       80    0.000    0.000    0.000    0.000 _compat.py:178(wsgi_encoding_dance)
    10680    0.002    0.000    0.002    0.000 _compat.py:18(<lambda>)
      870    0.001    0.000    0.002    0.000 _compat.py:183(to_bytes)
     1305    0.001    0.000    0.002    0.000 _compat.py:192(to_native)
      675    0.001    0.000    0.001    0.000 _compat.py:198(to_unicode)
       40    0.000    0.000    0.000    0.000 _compat.py:26(<lambda>)
      177    0.000    0.000    0.000    0.000 _compat.py:29(<lambda>)
       40    0.000    0.000    0.000    0.000 _internal.py:185(__get__)
       70    0.000    0.000    0.002    0.000 _internal.py:199(__set__)
       40    0.000    0.000    0.000    0.000 _internal.py:271(_cookie_parse_impl)
       40    0.000    0.000    0.000    0.000 _internal.py:290(_encode_idna)
       75    0.000    0.000    0.001    0.000 _internal.py:68(_get_environ)
       41    0.000    0.000    0.010    0.000 _internal.py:75(_log)
       35    0.000    0.000    0.001    0.000 _parseaddr.py:45(parsedate_tz)
       35    0.000    0.000    0.001    0.000 _parseaddr.py:57(_parsedate_tz)
      870    0.001    0.000    0.002    0.000 _policybase.py:277(_sanitize_header)
      730    0.001    0.000    0.002    0.000 _policybase.py:289(header_source_parse)
      870    0.000    0.000    0.002    0.000 _policybase.py:307(header_fetch_parse)
       85    0.000    0.000    0.049    0.001 _socket3.py:129(_wait)
       40    0.000    0.000    0.002    0.000 _socket3.py:159(accept)
      130    0.001    0.000    0.002    0.000 _socket3.py:183(makefile)
      130    0.000    0.000    0.002    0.000 _socket3.py:227(_decref_socketios)
       91    0.002    0.000    0.003    0.000 _socket3.py:233(_real_close)
      141    0.000    0.000    0.003    0.000 _socket3.py:253(close)
       50    0.014    0.000    0.022    0.000 _socket3.py:273(connect)
       50    0.000    0.000    0.000    0.000 _socket3.py:28(_get_memory)
      110    0.001    0.000    0.049    0.000 _socket3.py:358(recv_into)
      305    0.051    0.000    0.051    0.000 _socket3.py:367(send)
       50    0.000    0.000    0.047    0.001 _socket3.py:383(sendall)
       40    0.000    0.000    0.000    0.000 _socket3.py:460(gettimeout)
       40    0.000    0.000    0.001    0.000 _socket3.py:463(shutdown)
       91    0.001    0.000    0.002    0.000 _socket3.py:64(__init__)
      509    0.000    0.000    0.001    0.000 _socket3.py:79(__getattr__)
      131    0.000    0.000    0.000    0.000 _socket3.py:84(type)
      100    0.001    0.000    0.022    0.000 _socketcommon.py:251(getaddrinfo)
        1    0.000    0.000    0.000    0.000 _socketcommon.py:271(gethostbyaddr)
        1    0.000    0.000    0.000    0.000 _socketcommon.py:294(getfqdn)
      101    0.000    0.000    0.000    0.000 _threading.py:133(_is_owned)
      101    0.000    0.000    0.001    0.000 _threading.py:177(notify)
        1    0.000    0.000    0.000    0.000 _threading.py:195(Semaphore)
        1    0.000    0.000    0.000    0.000 _threading.py:230(BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 _threading.py:242(Event)
        1    0.000    0.000    0.000    0.000 _threading.py:282(Queue)
        1    0.000    0.000    0.000    0.000 _threading.py:287(__init__)
        1    0.000    0.000    0.000    0.000 _threading.py:36(RLock)
      101    0.001    0.000    0.002    0.000 _threading.py:374(put)
        1    0.000    0.000    0.000    0.000 _threading.py:464(_init)
      101    0.000    0.000    0.000    0.000 _threading.py:471(_put)
        1    0.000    0.000    0.000    0.000 _threading.py:479(PriorityQueue)
        1    0.000    0.000    0.000    0.000 _threading.py:498(LifoQueue)
        1    0.000    0.000    0.001    0.001 _threading.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _threading.py:92(Condition)
        3    0.000    0.000    0.000    0.000 _threading.py:94(__init__)
       40    0.000    0.000   10.716    0.268 app.py:1605(dispatch_request)
       40    0.000    0.000   10.718    0.268 app.py:1627(full_dispatch_request)
       40    0.000    0.000    0.000    0.000 app.py:1647(try_trigger_before_first_request_functions)
       40    0.000    0.000    0.000    0.000 app.py:1686(should_ignore_error)
       40    0.000    0.000    0.001    0.000 app.py:1696(make_response)
       80    0.000    0.000    0.002    0.000 app.py:1758(create_url_adapter)
      435    0.001    0.000    0.001    0.000 app.py:1780(inject_url_defaults)
       40    0.000    0.000    0.000    0.000 app.py:1814(preprocess_request)
       40    0.000    0.000    0.001    0.000 app.py:1841(process_response)
       40    0.000    0.000    0.001    0.000 app.py:1867(do_teardown_request)
       40    0.000    0.000    0.000    0.000 app.py:1888(do_teardown_appcontext)
       40    0.000    0.000    0.000    0.000 app.py:1901(app_context)
       40    0.000    0.000    0.004    0.000 app.py:1916(request_context)
       40    0.000    0.000   10.733    0.268 app.py:1958(wsgi_app)
       40    0.000    0.000   10.733    0.268 app.py:1998(__call__)
       35    0.000    0.000    0.000    0.000 app.py:46(_make_timedelta)
       81    0.000    0.000    0.000    0.000 app.py:736(select_jinja_autoescape)
        5    0.000    0.000    0.000    0.000 app.py:746(update_template_context)
      2/1    0.000    0.000   17.643   17.643 app.py:783(run)
       40    0.000    0.000    0.005    0.000 app.py:906(open_session)
       40    0.000    0.000    0.000    0.000 app.py:916(save_session)
        1    0.000    0.000    0.000    0.000 argparse.py:1010(_HelpAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1029(_VersionAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1055(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1057(_ChoicesPseudoAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1151(FileType)
        1    0.000    0.000    0.000    0.000 argparse.py:118(_AttributeHolder)
        1    0.000    0.000    0.000    0.000 argparse.py:1205(Namespace)
        1    0.000    0.000    0.000    0.000 argparse.py:1225(_ActionsContainer)
        1    0.000    0.000    0.000    0.000 argparse.py:153(HelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1532(_ArgumentGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1566(_MutuallyExclusiveGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1586(ArgumentParser)
        1    0.000    0.000    0.000    0.000 argparse.py:203(_Section)
